NAME,B25064_001E,B25070_010E,state,county,year
"San Mateo County, California",2599,26280,06,081,2021
"Santa Barbara County, California",1810,18522,06,083,2021
"Santa Clara County, California",2530,57558,06,085,2021
"Santa Cruz County, California",1925,10423,06,087,2021
"Shasta County, California",1140,6464,06,089,2021
"Sierra County, California",978,35,06,091,2021
"Siskiyou County, California",893,1528,06,093,2021
"Solano County, California",1802,14502,06,095,2021
"Sonoma County, California",1856,18239,06,097,2021
"Stanislaus County, California",1315,17926,06,099,2021
"Sutter County, California",1167,2413,06,101,2021
"Tehama County, California",1028,2057,06,103,2021
"Trinity County, California",869,263,06,105,2021
"Tulare County, California",1037,14450,06,107,2021
"Tuolumne County, California",1105,1601,06,109,2021
"Ventura County, California",1976,27005,06,111,2021
"Yolo County, California",1475,10548,06,113,2021
"Yuba County, California",1060,2295,06,115,2021
"Alameda County, California",2229,64479,06,001,2022
"Alpine County, California",-666666666,9,06,003,2022
"Amador County, California",1257,465,06,005,2022
"Butte County, California",1280,9811,06,007,2022
"Calaveras County, California",1621,696,06,009,2022
"Colusa County, California",1061,404,06,011,2022
"Contra Costa County, California",2234,33852,06,013,2022
"Del Norte County, California",1146,883,06,015,2022
"El Dorado County, California",1597,4811,06,017,2022
"Fresno County, California",1207,38249,06,019,2022
"Glenn County, California",978,768,06,021,2022
"Humboldt County, California",1191,7453,06,023,2022
"Imperial County, California",961,5146,06,025,2022
"Inyo County, California",1131,400,06,027,2022
"Kern County, California",1161,29157,06,029,2022
"Kings County, California",1201,3936,06,031,2022
"Lake County, California",1206,1966,06,033,2022
"Lassen County, California",1038,639,06,035,2022
"Los Angeles County, California",1805,526945,06,037,2022
"Madera County, California",1185,3574,06,039,2022
"Marin County, California",2487,9305,06,041,2022
"Mariposa County, California",1134,393,06,043,2022
"Mendocino County, California",1240,3113,06,045,2022
"Merced County, California",1200,8142,06,047,2022
"Modoc County, California",796,178,06,049,2022
"Mono County, California",1259,150,06,051,2022
"Monterey County, California",1873,15497,06,053,2022
"Napa County, California",2037,4101,06,055,2022
"Nevada County, California",1487,3294,06,057,2022
"Orange County, California",2248,128866,06,059,2022
"Placer County, California",1874,10264,06,061,2022
"Plumas County, California",1102,442,06,063,2022
"Riverside County, California",1711,64727,06,065,2022
"Sacramento County, California",1599,61279,06,067,2022
"San Benito County, California",1830,1401,06,069,2022
"San Bernardino County, California",1584,72807,06,071,2022
"San Diego County, California",2011,148226,06,073,2022
"San Francisco County, California",2316,38401,06,075,2022
"San Joaquin County, California",1542,22463,06,077,2022
"San Luis Obispo County, California",1800,11181,06,079,2022
"San Mateo County, California",2805,26396,06,081,2022
"Santa Barbara County, California",1964,19113,06,083,2022
"Santa Clara County, California",2719,58096,06,085,2022
"Santa Cruz County, California",2094,10733,06,087,2022
"Shasta County, California",1232,5978,06,089,2022
"Sierra County, California",1184,10,06,091,2022
"Siskiyou County, California",984,1536,06,093,2022
"Solano County, California",1981,14786,06,095,2022
"Sonoma County, California",2029,18407,06,097,2022
"Stanislaus County, California",1433,18004,06,099,2022
"Sutter County, California",1289,2600,06,101,2022
"Tehama County, California",1119,1809,06,103,2022
"Trinity County, California",928,198,06,105,2022
"Tulare County, California",1137,13911,06,107,2022
"Tuolumne County, California",1129,1638,06,109,2022
